==12389== NVPROF is profiling process 12389, command: python resnet.py resnet152
==12389== Profiling application: python resnet.py resnet152
==12389== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Size","Throughput","Device","Context","Stream","Name"
s,ms,,,,,,,,KB,B,MB,GB/s,,,,
5.689503,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689517,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689529,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689908,0.042624,,,,,,,,,,0.250000,5.727774,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689957,0.001216,,,,,,,,,,0.000488,0.392136,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689971,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689984,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.689996,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690095,0.092512,,,,,,,,,,0.562500,5.937785,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690195,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690207,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690229,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690244,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690655,0.042592,,,,,,,,,,0.250000,5.732077,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690705,0.001216,,,,,,,,,,0.001953,1.568543,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690718,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690732,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690745,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690803,0.042400,,,,,,,,,,0.250000,5.758034,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690852,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690865,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690878,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.690890,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691368,0.092736,,,,,,,,,,0.562500,5.923443,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691468,0.001088,,,,,,,,,,0.000488,0.438269,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691480,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691493,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691505,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691557,0.042368,,,,,,,,,,0.250000,5.762383,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691607,0.001312,,,,,,,,,,0.001953,1.453772,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691619,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691632,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691644,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691701,0.042400,,,,,,,,,,0.250000,5.758034,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691750,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691763,0.001088,,,,,,,,,,0.000488,0.438269,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691776,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.691788,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692195,0.092768,,,,,,,,,,0.562500,5.921400,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692295,0.001056,,,,,,,,,,0.000488,0.451550,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692308,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692321,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692333,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692385,0.042368,,,,,,,,,,0.250000,5.762383,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692435,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692447,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692460,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692472,0.001152,,,,,,,,,,0.001953,1.655685,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692530,0.042432,,,,,,,,,,0.250000,5.753691,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692580,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692592,0.000992,,,,,,,,,,0.000488,0.480683,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692605,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.692617,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693023,0.092800,,,,,,,,,,0.562500,5.919358,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693124,0.001056,,,,,,,,,,0.000488,0.451550,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693136,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693149,0.000896,,,,,,,,,,0.000488,0.532184,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693173,0.000864,,,,,,,,,,0.000488,0.551895,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693227,0.042400,,,,,,,,,,0.250000,5.758034,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693276,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693289,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693302,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693315,0.001120,,,,,,,,,,0.001953,1.702990,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693812,0.082752,,,,,,,,,,0.500000,5.900537,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693902,0.001120,,,,,,,,,,0.000977,0.851495,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693915,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693929,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.693941,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.694473,0.443104,,,,,,,,,,2.250000,4.958803,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.694924,0.001280,,,,,,,,,,0.000977,0.745058,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.694937,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.694950,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.694962,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.695527,0.162912,,,,,,,,,,1.000000,5.994417,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.695698,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.695711,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.695725,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.695738,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.696227,0.393440,,,,,,,,,,2.000000,4.964226,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.696628,0.001536,,,,,,,,,,0.003906,2.483527,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.696645,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.696659,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.696671,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.697150,0.195680,,,,,,,,,,1.000000,4.990610,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.697353,0.001120,,,,,,,,,,0.000977,0.851495,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.697366,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.697380,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.697392,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.697888,0.455936,,,,,,,,,,2.250000,4.819241,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.698351,0.001344,,,,,,,,,,0.000977,0.709579,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.698363,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.698376,0.000992,,,,,,,,,,0.000977,0.961365,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.698388,0.000960,,,,,,,,,,0.000977,0.993411,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.698860,0.170112,,,,,,,,,,1.000000,5.740703,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.699038,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.699051,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.699064,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.699077,0.001472,,,,,,,,,,0.003906,2.591506,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
5.699627,0.162913,,,,,,,,,,1.000000,5.994380,"Tesla K40c (0)","1","7","[CUDA memcpy HtoD]"
